-5.2164736e-04_C   6.0000000e+00_C
  0.1038240   -0.9303548
  0.1154199    1.0696452
  0.0741897    1.0696452
  0.1160605   -0.9303548
  0.1829422   -0.9303548
  0.1490533    1.0696452
  0.0747917    1.0696452
  0.1057154   -0.9303548
  0.1688478   -0.9303548
  0.1328103    1.0696452
  0.0253394    1.0696452
  0.0389455   -0.9303548
  0.1254486   -0.9303548
  0.0854996   -0.9303548
 -0.2831055   -0.9303548
 -0.5281435   -0.9303548
 -0.4336741   -0.9303548
 -0.4074815   -0.9303548
 -0.4138502   -0.9303548
 -0.4352191   -0.9303548
 -0.4592226   -0.9303548
 -0.4729627    1.0696452
 -0.4582622    1.0696452
 -0.4284352   -0.9303548
 -0.2928091   -0.9303548
 -0.1541528    1.0696452
 -0.1153039    1.0696452
 -0.0341431   -0.9303548
  0.0491797   -0.9303548
  0.0348759   -0.9303548
 -0.0556392   -0.9303548
 -0.3088314    1.0696452
 -0.4300426    1.0696452
 -0.3476026   -0.9303548
 -0.2979683   -0.9303548
 -0.2238720    1.0696452
 -0.1606827    1.0696452
 -0.0692668    1.0696452
  0.0418565    1.0696452
  0.1359938    1.0696452
  0.4129713    1.0696452
  0.5634713    1.0696452
  0.3853813    1.0696452
  0.3024346    1.0696452
  0.3078680    1.0696452
  0.5863919   -0.9303548
  0.7067577   -0.9303548
  0.3197529   -0.9303548
  0.0286153   -0.9303548
 -0.1994490    1.0696452
 -0.3162837    1.0696452
 -0.2068921   -0.9303548
 -0.1405052   -0.9303548
 -0.0983345   -0.9303548
 -0.4307435   -0.9303548
 -0.6685479   -0.9303548
 -0.4903453   -0.9303548
 -0.4303936    1.0696452
 -0.3705160    1.0696452
 -0.0853978   -0.9303548
  0.1634471   -0.9303548
  0.0457184   -0.9303548
 -0.1081436   -0.9303548
 -0.1710355    1.0696452
 -0.1956067    1.0696452
 -0.1021639   -0.9303548
  0.0246980   -0.9303548
  0.1072992   -0.9303548
  0.0621825   -0.9303548
 -0.0841748    1.0696452
 -0.1724959    1.0696452
 -0.1634415   -0.9303548
 -0.0594641   -0.9303548
 -0.0389995    1.0696452
 -0.0769036    1.0696452
 -0.0105241   -0.9303548
  0.0880022   -0.9303548
  0.1040201   -0.9303548
  0.0154403   -0.9303548
 -0.0998819    1.0696452
 -0.1611823    1.0696452
 -0.0899506    1.0696452
  0.0605709    1.0696452
  0.1880566    1.0696452
  0.2553158    1.0696452
  0.2976130    1.0696452
  0.3190044    1.0696452
  0.6093156    1.0696452
  0.7740813    1.0696452
  0.6200321   -0.9303548
  0.5052961   -0.9303548
  0.3069333    1.0696452
  0.1613524    1.0696452
  0.1627751   -0.9303548
  0.2222441   -0.9303548
  0.1881556   -0.9303548
  0.0707875   -0.9303548
 -0.0971197   -0.9303548
 -0.2304427   -0.9303548
 -0.2897857    1.0696452
 -0.3145360    1.0696452
 -0.2198331   -0.9303548
 -0.0588634   -0.9303548
  0.0053447   -0.9303548
 -0.0443738   -0.9303548
 -0.1569072   -0.9303548
 -0.3642430   -0.9303548
 -0.4997693   -0.9303548
 -0.4764511   -0.9303548
 -0.4811842   -0.9303548
 -0.5056148   -0.9303548
 -0.5085232    1.0696452
 -0.4679542    1.0696452
 -0.3328964    1.0696452
  0.0743102    1.0696452
  0.3076165    1.0696452
  0.2379326    1.0696452
  0.2555289   -0.9303548
  0.2328566   -0.9303548
  0.1150253   -0.9303548
 -0.0154390   -0.9303548
 -0.1180792   -0.9303548
 -0.3122662   -0.9303548
 -0.4357673   -0.9303548
 -0.4310440   -0.9303548
 -0.4484308    1.0696452
 -0.4339190    1.0696452
 -0.5266841    1.0696452
 -0.4245044    1.0696452
 -0.0855599   -0.9303548
  0.0682134   -0.9303548
  0.0602334   -0.9303548
 -0.0420836   -0.9303548
 -0.1489837    1.0696452
 -0.1962155    1.0696452
 -0.1280703   -0.9303548
 -0.0160848   -0.9303548
 -0.0724622    1.0696452
 -0.1231261    1.0696452
  0.0373087    1.0696452
  0.2697658    1.0696452
  0.3671375   -0.9303548
  0.3370186   -0.9303548
  0.2684138   -0.9303548
  0.1235232   -0.9303548
 -0.0234305    1.0696452
 -0.1488598    1.0696452
 -0.0891572   -0.9303548
  0.0797351   -0.9303548
  0.1122086    1.0696452
  0.3167509    1.0696452
  0.4909970   -0.9303548
  0.4148309   -0.9303548
  0.3086156   -0.9303548
  0.1435291   -0.9303548
 -0.0167351   -0.9303548
  0.0516103   -0.9303548
  0.0587694    1.0696452
 -0.1169154    1.0696452
 -0.1009419    1.0696452
  0.0389136    1.0696452
  0.1984848    1.0696452
  0.3037928    1.0696452
  0.3719146   -0.9303548
  0.3764159   -0.9303548
  0.2671831   -0.9303548
  0.1102570   -0.9303548
 -0.0394901    1.0696452
 -0.1129246    1.0696452
 -0.0558244   -0.9303548
  0.1328073   -0.9303548
  0.4440186    1.0696452
  0.4742024    1.0696452
  0.4782137    1.0696452
  0.5766010    1.0696452
  0.4951711    1.0696452
  0.4696603    1.0696452
  0.4883001   -0.9303548
  0.4740292   -0.9303548
  0.3557883    1.0696452
  0.2647814    1.0696452
  0.2604643   -0.9303548
  0.2935589   -0.9303548
  0.5689265   -0.9303548
  0.5956332   -0.9303548
  0.2298281   -0.9303548
 -0.0112395   -0.9303548
 -0.0599776   -0.9303548
 -0.1262246   -0.9303548
 -0.1183241   -0.9303548
 -0.1114370   -0.9303548
 -0.2921094   -0.9303548
 -0.3979139   -0.9303548
 -0.4616782   -0.9303548
 -0.3899531   -0.9303548
 -0.3589736    1.0696452
 -0.3280066    1.0696452
 -0.1871892   -0.9303548
 -0.0846796   -0.9303548
  0.1928274    1.0696452
 -0.0563232    1.0696452
 -0.3549667    1.0696452
 -0.0909890    1.0696452
  0.0636190   -0.9303548
  0.1249037   -0.9303548
  0.0761600    1.0696452
  0.0218338    1.0696452
  0.0623582   -0.9303548
  0.1185379   -0.9303548
 -0.0262090   -0.9303548
 -0.1891467   -0.9303548
 -0.2279663    1.0696452
 -0.2697640    1.0696452
 -0.1954320    1.0696452
 -0.3076393    1.0696452
 -0.3078931    1.0696452
 -0.0071480    1.0696452
  0.1587208   -0.9303548
  0.2700195   -0.9303548
  0.2362650    1.0696452
  0.1239956    1.0696452
  0.1158404   -0.9303548
  0.1682832   -0.9303548
  0.1702809    1.0696452
  0.1049236    1.0696452
  0.1093029    1.0696452
  0.1681319    1.0696452
  0.2156729   -0.9303548
  0.2288457   -0.9303548
  0.1547941   -0.9303548
  0.0233446   -0.9303548
 -0.0965701    1.0696452
 -0.1521022    1.0696452
 -0.4408886    1.0696452
 -0.4578185    1.0696452
 -0.0470485    1.0696452
  0.1767857    1.0696452
  0.2890804   -0.9303548
  0.3093312   -0.9303548
  0.2267236   -0.9303548
  0.0823298   -0.9303548
 -0.1712866    1.0696452
 -0.2419985    1.0696452
 -0.0734953    1.0696452
  0.0762681    1.0696452
  0.2245122    1.0696452
  0.4928091    1.0696452
  0.6442918   -0.9303548
  0.6234593   -0.9303548
  0.4757227   -0.9303548
  0.1940119   -0.9303548
  0.0100193   -0.9303548
 -0.1326916   -0.9303548
 -0.2286143   -0.9303548
 -0.3119860   -0.9303548
 -0.3749727   -0.9303548
 -0.4449817   -0.9303548
 -0.4981394   -0.9303548
 -0.5051119   -0.9303548
 -0.5174880   -0.9303548
 -0.5291990   -0.9303548
 -0.5446252   -0.9303548
 -0.5950127   -0.9303548
 -0.5448504   -0.9303548
 -0.4556203   -0.9303548
 -0.4811432    1.0696452
 -0.4800772    1.0696452
 -0.4357344    1.0696452
 -0.2691036    1.0696452
 -0.0260970    1.0696452
  0.1456481    1.0696452
  0.3004019    1.0696452
  0.3200279    1.0696452
  0.2681036   -0.9303548
  0.3197087   -0.9303548
  0.2654768   -0.9303548
  0.0828376   -0.9303548
 -0.1546527   -0.9303548
 -0.1460832   -0.9303548
 -0.1754213   -0.9303548
 -0.4054724   -0.9303548
 -0.4575802    1.0696452
 -0.4307109    1.0696452
 -0.2881657   -0.9303548
 -0.1145850   -0.9303548
 -0.0602474   -0.9303548
 -0.1184925   -0.9303548
 -0.1976119   -0.9303548
 -0.2686069   -0.9303548
 -0.2835547    1.0696452
 -0.2449861    1.0696452
 -0.1637297    1.0696452
 -0.0323455    1.0696452
  0.0937363    1.0696452
  0.2058288    1.0696452
  0.2665170    1.0696452
  0.2723184    1.0696452
  0.2892646   -0.9303548
  0.2971038   -0.9303548
  0.2092855    1.0696452
  0.0999951    1.0696452
  0.0892243   -0.9303548
  0.1469321   -0.9303548
  0.1451736   -0.9303548
  0.1139120   -0.9303548
  0.0279524    1.0696452
 -0.0865912    1.0696452
 -0.0996412    1.0696452
  0.0034078    1.0696452
  0.1608398   -0.9303548
  0.2290482   -0.9303548
  0.1754855   -0.9303548
  0.0483543   -0.9303548
 -0.1512362    1.0696452
 -0.2568226    1.0696452
 -0.1432898   -0.9303548
  0.1324408   -0.9303548
  0.1869955   -0.9303548
 -0.0852090   -0.9303548
 -0.2302565    1.0696452
 -0.2262568    1.0696452
 -0.1273191   -0.9303548
  0.0189561   -0.9303548
  0.0577918   -0.9303548
  0.0483258   -0.9303548
  0.0303868   -0.9303548
 -0.0705655   -0.9303548
 -0.2025254   -0.9303548
 -0.2986938   -0.9303548
 -0.3618410    1.0696452
 -0.3709621    1.0696452
 -0.2318095   -0.9303548
 -0.0721991   -0.9303548
 -0.0443752    1.0696452
 -0.0441099    1.0696452
  0.0277265    1.0696452
  0.1331665    1.0696452
  0.3694798    1.0696452
  0.4907559    1.0696452
  0.3877604    1.0696452
  0.4096882    1.0696452
  0.4281735   -0.9303548
  0.3802786   -0.9303548
  0.2728872   -0.9303548
  0.0899518   -0.9303548
 -0.0290089   -0.9303548
 -0.1279342   -0.9303548
 -0.2406577    1.0696452
 -0.2786150    1.0696452
 -0.1904821    1.0696452
 -0.0203001    1.0696452
  0.1100483   -0.9303548
  0.1736786   -0.9303548
  0.1494210   -0.9303548
  0.1355514   -0.9303548
  0.0602019    1.0696452
 -0.0865353    1.0696452
 -0.0632852    1.0696452
  0.1036482    1.0696452
  0.2549171    1.0696452
  0.3276165    1.0696452
  0.3708572    1.0696452
  0.3944782    1.0696452
  0.4160520   -0.9303548
  0.3996989   -0.9303548
  0.2395386    1.0696452
  0.1162040    1.0696452
  0.1161631    1.0696452
  0.2668578    1.0696452
  0.6844163   -0.9303548
  0.7865898   -0.9303548
  0.5120967    1.0696452
  0.3095239    1.0696452
  0.2476485    1.0696452
  0.3313059    1.0696452
  0.3958689    1.0696452
  0.3724839    1.0696452
  0.3607283   -0.9303548
  0.3634828   -0.9303548
  0.2740277    1.0696452
  0.1706601    1.0696452
  0.1871518   -0.9303548
  0.1676529   -0.9303548
  0.0815655    1.0696452
  0.0672747    1.0696452
  0.1226327   -0.9303548
  0.4663388   -0.9303548
  0.5813617   -0.9303548
  0.2349574   -0.9303548
 -0.0110109   -0.9303548
 -0.1533429   -0.9303548
 -0.2540804    1.0696452
 -0.4142297    1.0696452
 -0.3920897   -0.9303548
 -0.1463101   -0.9303548
 -0.1012126    1.0696452
 -0.1151989    1.0696452
  0.1643208   -0.9303548
  0.4260525   -0.9303548
  0.3188640   -0.9303548
  0.0575742   -0.9303548
 -0.1126754   -0.9303548
 -0.1954430   -0.9303548
 -0.3456417   -0.9303548
 -0.4410869   -0.9303548
 -0.4078402    1.0696452
 -0.3849392    1.0696452
 -0.2847973    1.0696452
 -0.1619944    1.0696452
 -0.0250225   -0.9303548
  0.1786280   -0.9303548
  0.1597329    1.0696452
  0.0458132    1.0696452
  0.0932561    1.0696452
  0.1760134    1.0696452
  0.2297044   -0.9303548
  0.2311458   -0.9303548
  0.1492888    1.0696452
  0.1520977    1.0696452
  0.2199836   -0.9303548
  0.1724570   -0.9303548
  0.0879083   -0.9303548
 -0.0056463   -0.9303548
 -0.1144411   -0.9303548
 -0.2034968   -0.9303548
 -0.2833700    1.0696452
 -0.3007744    1.0696452
 -0.1622651    1.0696452
  0.0299270    1.0696452
  0.1314260   -0.9303548
  0.2376708   -0.9303548
  0.2445847   -0.9303548
  0.1008099   -0.9303548
  0.0537093   -0.9303548
 -0.0376970   -0.9303548
 -0.2209935    1.0696452
 -0.2858457    1.0696452
  0.0137832    1.0696452
  0.3000690    1.0696452
  0.2547549    1.0696452
  0.2523351    1.0696452
  0.3215316    1.0696452
  0.3594898    1.0696452
  0.3669059    1.0696452
  0.3708433    1.0696452
  0.3594949    1.0696452
  0.3522821    1.0696452
  0.3596564   -0.9303548
  0.2671497   -0.9303548
  0.1325771   -0.9303548
 -0.0044296   -0.9303548
 -0.1088927   -0.9303548
 -0.1141835   -0.9303548
 -0.1772130    1.0696452
 -0.2469259    1.0696452
  0.0197018   -0.9303548
  0.2537999   -0.9303548
  0.2405608   -0.9303548
  0.1575038   -0.9303548
 -0.0305212   -0.9303548
 -0.1685298   -0.9303548
 -0.2653953    1.0696452
 -0.2881187    1.0696452
  0.1054711   -0.9303548
  0.4142721   -0.9303548
  0.2532435    1.0696452
  0.1733456    1.0696452
  0.3410639    1.0696452
  0.4490124    1.0696452
  0.3834238   -0.9303548
  0.3379237   -0.9303548
  0.2400991   -0.9303548
  0.0740412   -0.9303548
 -0.0976877   -0.9303548
 -0.2181724   -0.9303548
 -0.3352033   -0.9303548
 -0.4101723   -0.9303548
 -0.4114851    1.0696452
 -0.3860808    1.0696452
 -0.0853789   -0.9303548
  0.1794345   -0.9303548
  0.1235778    1.0696452
  0.0614940    1.0696452
  0.0763647   -0.9303548
  0.1192354   -0.9303548
  0.1733515    1.0696452
  0.1701606    1.0696452
  0.1787891    1.0696452
  0.1986067    1.0696452
  0.1922491   -0.9303548
  0.2206474   -0.9303548
  0.1489478    1.0696452
  0.0803818    1.0696452
  0.1470374   -0.9303548
  0.2176438   -0.9303548
  0.1757959    1.0696452
  0.1168749    1.0696452
